date,actual,predicted,ci_lower,ci_upper
2025-12-08,2440.0,2456.678520520757,2360.2970979906,2553.059943050914
2025-12-09,2443.0,2498.214522492254,2401.833099962097,2594.5959450224113
2025-12-10,2439.0,2528.855656093303,2432.474233563146,2625.23707862346
2025-12-11,2437.0,2543.1355977433377,2446.7541752131806,2639.517020273495
2025-12-12,2445.3333333333335,2538.8101317089026,2442.4287091787455,2635.1915542390598
2025-12-13,2453.6666666666665,2534.4339377842884,2438.0525152541313,2630.8153603144456
2025-12-14,2462.0,2529.99365827554,2433.612235745383,2626.375080805697
2025-12-15,2470.0,2558.2198736453515,2461.8384511151944,2654.6012961755087
2025-12-16,2468.0,2600.8665464059004,2504.4851238757433,2697.2479689360575
2025-12-17,2481.0,2632.160328235525,2535.778905705368,2728.541750765682
2025-12-18,2472.0,2646.420862037046,2550.039439506889,2742.802284567203
2025-12-19,2476.0,2641.324942860664,2544.943520330507,2737.7063653908212
2025-12-20,2480.0,2636.185096842158,2539.803674312001,2732.5665193723153
2025-12-21,2484.0,2630.9873167159376,2534.6058941857805,2727.3687392460947
