date,actual,predicted,ci_lower,ci_upper
2025-12-08,2440.0,2434.79004691607,1436.6080734246243,3432.9720204075156
2025-12-09,2443.0,2434.259659133971,1435.7931323361618,3432.7261859317805
2025-12-10,2439.0,2433.5119468908024,1434.74805355867,3432.2758402229347
2025-12-11,2437.0,2434.9255308746983,1436.412214907507,3433.4388468418897
2025-12-12,2445.3333333333335,2432.898955702475,1433.8915009919083,3431.906410413042
2025-12-13,2453.6666666666665,2432.898955702475,1433.8915009919083,3431.906410413042
2025-12-14,2462.0,2430.648316733492,1429.9555818043518,3431.341051662632
2025-12-15,2470.0,2459.546194849673,1467.2971208047838,3451.7952688945625
2025-12-16,2468.0,2467.620052665778,1477.871097155384,3457.3690081761724
2025-12-17,2481.0,2464.299597013994,1474.1310516712629,3454.4681423567254
2025-12-18,2472.0,2473.3722030255753,1488.5412893069727,3458.2031167441783
2025-12-19,2476.0,2472.8116482535916,1487.6616755447849,3457.9616209623982
2025-12-20,2480.0,2472.303693030907,1487.165262617702,3457.4421234441124
2025-12-21,2484.0,2472.322688142472,1487.2702905900837,3457.3750856948604
