date,actual,predicted,ci_lower,ci_upper
2025-12-08,2440.0,2425.3876666666656,2394.0,2457.25
2025-12-09,2443.0,2437.0899999999992,2406.983333333333,2485.4
2025-12-10,2439.0,2438.750333333334,2407.0,2485.5550000000003
2025-12-11,2437.0,2438.1980000000003,2406.116666666667,2485.4
2025-12-12,2445.3333333333335,2439.553666666668,2409.9083333333333,2485.4
2025-12-13,2453.6666666666665,2443.212000000001,2410.0,2491.6
2025-12-14,2462.0,2447.3393333333333,2415.0,2491.6
2025-12-15,2470.0,2471.316333333333,2418.975,2504.008333333333
2025-12-16,2468.0,2475.1513809523804,2427.9333333333334,2520.6666666666665
2025-12-17,2481.0,2475.0608095238094,2428.0,2518.0666666666666
2025-12-18,2472.0,2483.0569523809518,2447.0,2516.0035714285714
2025-12-19,2476.0,2478.2192380952374,2435.4083333333333,2512.7571428571428
2025-12-20,2480.0,2483.0895238095227,2447.0,2516.0
2025-12-21,2484.0,2485.408904761903,2447.0,2516.0
