date,actual,predicted,ci_lower,ci_upper
2025-12-08,4.0,14.442955644833873,-37.56715150773789,66.45306279740564
2025-12-09,8.0,14.075791329956084,-37.93431582261568,66.08589848252785
2025-12-10,9.0,15.165517635102852,-36.84458951746891,67.17562478767462
2025-12-11,10.0,16.71233102986448,-35.29777612270728,68.72243818243624
2025-12-12,9.333333333333334,14.540679901087447,-37.46942725148432,66.5507870536592
2025-12-13,8.666666666666666,12.007090274165549,-40.003016878406214,64.01719742673731
2025-12-14,8.0,8.948660123291416,-43.061447029280345,60.95876727586318
2025-12-15,7.0,13.28560174589467,-38.724505406677096,65.29570889846643
2025-12-16,9.0,12.918437431016885,-39.09166972155488,64.92854458358865
2025-12-17,10.0,14.008163736163652,-38.00194341640811,66.01827088873542
2025-12-18,16.0,15.554977130925277,-36.45513002164648,67.56508428349704
2025-12-19,15.333333333333334,13.383326002148248,-38.62678115042351,65.39343315472001
2025-12-20,14.666666666666666,10.84973637522635,-41.16037077734541,62.85984352779811
2025-12-21,14.0,7.791306224352214,-44.21880092821955,59.801413376923975
