date,actual,predicted
2025-12-08,2440.0,2418.5714285714284
2025-12-09,2443.0,2418.5714285714284
2025-12-10,2439.0,2418.5714285714284
2025-12-11,2437.0,2418.5714285714284
2025-12-12,2445.3333333333335,2418.5714285714284
2025-12-13,2453.6666666666665,2418.5714285714284
2025-12-14,2462.0,2418.5714285714284
2025-12-15,2470.0,2418.5714285714284
2025-12-16,2468.0,2418.5714285714284
2025-12-17,2481.0,2418.5714285714284
2025-12-18,2472.0,2418.5714285714284
2025-12-19,2476.0,2418.5714285714284
2025-12-20,2480.0,2418.5714285714284
2025-12-21,2484.0,2418.5714285714284
