date,actual,predicted,ci_lower,ci_upper
2025-12-08,4.0,13.641859124439385,-34.85780379209995,62.14152204097872
2025-12-09,8.0,12.265788236081644,-47.72339857862276,72.25497505078604
2025-12-10,9.0,12.678207795048156,-52.53472766229308,77.89114325238938
2025-12-11,10.0,13.678355002589466,-53.5385876599332,80.89529766511214
2025-12-12,9.333333333333334,11.568243579575345,-57.71889375609016,80.85538091524086
2025-12-13,8.666666666666666,9.415625063062866,-61.886608733149515,80.71785885927524
2025-12-14,8.0,7.261886629065195,-65.93460986328824,80.45838312141865
2025-12-15,7.0,10.923969973868834,-65.2350210610043,87.08296100874198
2025-12-16,9.0,10.827168567952384,-67.62721404522192,89.28155118112669
2025-12-17,10.0,11.910864581647477,-68.44108391993514,92.26281308323009
2025-12-18,16.0,12.940361242929729,-69.01746836590695,94.8981908517664
2025-12-19,15.333333333333334,10.951603561056686,-72.56612191869606,94.46932904080943
2025-12-20,14.666666666666666,8.955758297712292,-76.07069905932849,93.98221565475308
2025-12-21,14.0,6.965924504161503,-79.51916192832854,93.45101093665156
