date,actual,predicted,ci_lower,ci_upper
2025-12-08,4.0,8.83693842169075,-38.886581545624665,56.56045838900616
2025-12-09,8.0,9.976174328340718,-37.33911425409346,57.2914629107749
2025-12-10,9.0,12.709127685365564,-33.2370807991381,58.65533616986923
2025-12-11,10.0,10.427462653422923,-36.70613842301522,57.56106372986106
2025-12-12,9.333333333333334,10.264413809001871,-36.92560077452971,57.45442839253346
2025-12-13,8.666666666666666,12.16177616815798,-34.15937780230883,58.48293013862479
2025-12-14,8.0,11.188102920145582,-35.21202988062688,57.58823572091804
2025-12-15,7.0,8.68427832708526,-39.093203248383766,56.461759902554284
2025-12-16,9.0,8.495533639693944,-39.46650972164104,56.45757700102893
2025-12-17,10.0,9.719135902006121,-37.74954307007846,57.187814874090705
2025-12-18,16.0,16.865498985475902,-28.020787786158955,61.75178575711076
2025-12-19,15.333333333333334,14.00771195793816,-31.74526141803732,59.76068533391364
2025-12-20,14.666666666666666,12.895888327211827,-33.13117873213068,58.922955386554335
2025-12-21,14.0,12.719444248182011,-33.3112598628133,58.75014835917732
