date,actual,predicted,ci_lower,ci_upper
2025-12-08,4.0,9.717833333333335,4.6499999999999995,16.0
2025-12-09,8.0,9.235428571428573,4.991666666666667,17.0
2025-12-10,9.0,12.540142857142857,8.0,17.0
2025-12-11,10.0,9.110166666666668,4.0,17.0
2025-12-12,9.333333333333334,10.57104761904762,5.0,17.0
2025-12-13,8.666666666666666,12.43311904761905,5.0,18.0
2025-12-14,8.0,12.319119047619049,5.0,18.0
2025-12-15,7.0,7.939166666666666,3.0,17.0
2025-12-16,9.0,7.5133333333333345,2.0,17.0
2025-12-17,10.0,8.223333333333333,2.333333333333333,14.0
2025-12-18,16.0,16.04791666666667,10.325000000000001,20.025000000000006
2025-12-19,15.333333333333334,14.173523809523806,9.0,18.333333333333332
2025-12-20,14.666666666666666,13.453761904761897,8.333333333333334,18.0
2025-12-21,14.0,12.093785714285707,5.0,17.0
